# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1751140131288000000,1751140191288000000,0
writeAction.wait.ms,1751140131288000000,1751140191288000000,0
FilePageCache.pageHits,1751140131288000000,1751140191288000000,0
StorageLockContext.competingThreads.avg,1751140131288000000,1751140191288000000,0.0
DirectByteBufferAllocator.hits,1751140131288000000,1751140191288000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1751140131288000000,1751140191288000000,0
FilePageCache.maxCacheSizeInBytes,1751140131288000000,1751140191288000000,629153792
FilePageCache.uncachedFileAccess,1751140131288000000,1751140191288000000,0
FilePageCache.totalPageLoadsUs,1751140131288000000,1751140191288000000,0
FilePageCache.totalPageDisposalsUs,1751140131288000000,1751140191288000000,0
StorageLockContext.competingThreads.90P,1751140131288000000,1751140191288000000,0
MappedFileStorage.storages,1751140131288000000,1751140191288000000,17
StreamlinedBlobStorage.recordsRelocated,1751140131288000000,1751140191288000000,0
FilePageCache.pageFastCacheHits,1751140131288000000,1751140191288000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1751140131288000000,1751140191288000000,0
StreamlinedBlobStorage.recordsAllocated,1751140131288000000,1751140191288000000,0
FilePageCache.maxRegisteredFiles,1751140131288000000,1751140191288000000,1772
StreamlinedBlobStorage.recordsDeleted,1751140131288000000,1751140191288000000,0
FilePageCache.pageLoads,1751140131288000000,1751140191288000000,0
FilePageCache.capacityInBytes,1751140131288000000,1751140191288000000,629145600
FilePageCache.disposedBuffers,1751140131288000000,1751140191288000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1751140131288000000,1751140191288000000,23085056
FileChannelInterruptsRetryer.totalRetriedAttempts,1751140131288000000,1751140191288000000,0
DirectByteBufferAllocator.reclaimed,1751140131288000000,1751140191288000000,0
MappedFileStorage.totalPagesMapped,1751140131288000000,1751140191288000000,17
MappedFileStorage.totalBytesMapped,1751140131288000000,1751140191288000000,206831616
DirectByteBufferAllocator.misses,1751140131288000000,1751140191288000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1751140131288000000,1751140191288000000,140568
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1751140131288000000,1751140191288000000,105529344
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1751140131288000000,1751140191288000000,0
DirectByteBufferAllocator.disposed,1751140131288000000,1751140191288000000,0
StorageLockContext.competingThreads.max,1751140131288000000,1751140191288000000,0
workspaceModel.init.bridges.ms,1751140131288000000,1751140191288000000,0
workspaceModel.full.replace.project.model.ms,1751140131288000000,1751140191288000000,0
workspaceModel.updates.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.init.ms,1751140131288000000,1751140191288000000,0
workspaceModel.loading.total.ms,1751140131288000000,1751140191288000000,0
workspaceModel.check.recursive.update.ms,1751140131288000000,1751140191288000000,0
workspaceModel.loading.from.cache.ms,1751140131288000000,1751140191288000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.instances.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1751140131288000000,1751140191288000000,0
workspaceModel.replace.project.model.ms,1751140131288000000,1751140191288000000,0
workspaceModel.initializing.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValue.from.cache.count,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1751140131288000000,1751140191288000000,0
workspaceModel.update.unloaded.entities.ms,1751140131288000000,1751140191288000000,0
workspaceModel.updates.ms,1751140131288000000,1751140191288000000,0
workspaceModel.pre.handlers.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValueWithParameters.clear.count,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1751140131288000000,1751140191288000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1751140131288000000,1751140191288000000,0
workspaceModel.cachedValue.total.get.count,1751140131288000000,1751140191288000000,0
